,TLD,Type,Punycode,Language Code,Translation,Romanized,RTL,Sponsor
1292,trust,gTLD,,,,,no,UNR Corp.
1293,trv,gTLD,,,,,no,"Travelers TLD, LLC"
1294,tt,ccTLD,,,,,no,"University of the West Indies
Faculty of Engineering"
1295,tube,gTLD,,,,,no,Latin American Telecom LLC
1296,tui,gTLD,,,,,no,TUI AG
1297,tunes,gTLD,,,,,no,"Amazon Registry Services, Inc."
1298,tushu,gTLD,,,books,,no,"Amazon Registry Services, Inc."
1299,tv,ccTLD,,,,,no,Ministry of Finance and Tourism
1300,tvs,gTLD,,,,,no,T V SUNDRAM IYENGAR  & SONS PRIVATE LIMITED
1301,tw,ccTLD,,,,,no,Taiwan Network Information Center (TWNIC)
1302,tz,ccTLD,,,,,no,Tanzania Communications Regulatory Authority
1303,ua,ccTLD,,,,,no,Hostmaster Ltd.
1304,ubank,gTLD,,,,,no,National Australia Bank Limited
1305,ubs,gTLD,,,,,no,UBS AG
1306,uconnect,gTLD,,,,,no,
1307,ug,ccTLD,,,,,no,Uganda Online Ltd.
1308,uk,ccTLD,,,,,no,Nominet UK
1309,um,ccTLD,,,,,no,
1310,unicom,gTLD,,,,,no,China United Network Communications Corporation Limited
1311,university,gTLD,,,,,no,"Binky Moon, LLC"
1312,uno,gTLD,,,one,,no,Radix FZC
1313,uol,gTLD,,,,,no,UBN INTERNET LTDA.
1314,ups,gTLD,,,,,no,"UPS Market Driver, Inc."
1315,us,ccTLD,,,,,no,"Registry Services, LLC"
1316,uy,ccTLD,,,,,no,SeCIU - Universidad de la Republica
1317,uz,ccTLD,,,,,no,Single Integrator for Creation and Support of State Information Systems UZINFOCOM
1318,va,ccTLD,,,,,no,Holy See - Vatican City State
1319,vacations,gTLD,,,,,no,"Binky Moon, LLC"
1320,vana,gTLD,,,,,no,"Lifestyle Domain Holdings, Inc."
1321,vanguard,gTLD,,,,,no,"The Vanguard Group, Inc."
1322,vc,ccTLD,,,,,no,"Ministry of Telecommunications, Science, Technology and Industry"
1323,ve,ccTLD,,,,,no,Comisión Nacional de Telecomunicaciones (CONATEL)
1324,vegas,gTLD,,,,,no,"Dot Vegas, Inc."
1325,ventures,gTLD,,,,,no,"Binky Moon, LLC"
1326,verisign,gTLD,,,,,no,"VeriSign, Inc."
1327,vermögensberater,gTLD,xn--vermgensberater-ctb,de,financial advisor,,no,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1328,vermögensberatung,gTLD,xn--vermgensberatung-pwb,de,financial advice,,no,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1329,versicherung,gTLD,,,insurance,,no,TLD-BOX Registrydienstleistungen GmbH
1330,vet,gTLD,,,,,no,"Dog Beach, LLC"
1331,vg,ccTLD,,,,,no,Telecommunications Regulatory Commission of the Virgin Islands
1332,vi,ccTLD,,,,,no,"Virgin Islands Public Telecommunications System, Inc."
1333,viajes,gTLD,,,travel,,no,"Binky Moon, LLC"
1334,video,gTLD,,,,,no,"Dog Beach, LLC"
1335,vig,gTLD,,,,,no,VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe
1336,viking,gTLD,,,,,no,Viking River Cruises (Bermuda) Ltd.
1337,villas,gTLD,,,,,no,"Binky Moon, LLC"
1338,vin,gTLD,,,,,no,"Binky Moon, LLC"
1339,vip,gTLD,,,,,no,"Registry Services, LLC"
1340,virgin,gTLD,,,,,no,Virgin Enterprises Limited
1341,visa,gTLD,,,,,no,Visa Worldwide Pte. Limited
1342,vision,gTLD,,,,,no,"Binky Moon, LLC"
1343,vista,gTLD,,,,,no,
1344,vistaprint,gTLD,,,,,no,
1345,viva,gTLD,,,,,no,Saudi Telecom Company
1346,vivo,gTLD,,,,,no,Telefonica Brasil S.A.
1347,vlaanderen,gTLD,,,,,no,DNS.be vzw
1348,vn,ccTLD,,,,,no,Viet Nam Internet Network Information Center (VNNIC)
1349,vodka,gTLD,,,,,no,"Registry Services, LLC"
1350,volkswagen,gTLD,,,,,no,Volkswagen Group of America Inc.
1351,volvo,gTLD,,,,,no,Volvo Holding Sverige Aktiebolag
1352,vote,gTLD,,,,,no,Monolith Registry LLC
1353,voting,gTLD,,,,,no,Valuetainment Corp.
1354,voto,gTLD,,,vote,,no,Monolith Registry LLC
1355,voyage,gTLD,,,,,no,"Binky Moon, LLC"
1356,vu,ccTLD,,,,,no,Telecommunications Radiocommunications and Broadcasting Regulator (TRBR)
1357,vuelos,gTLD,,,flights,,no,Travel Reservations SRL
1358,wales,gTLD,,,,,no,Nominet UK
1359,walmart,gTLD,,,,,no,"Wal-Mart Stores, Inc."
1360,walter,gTLD,,,,,no,Sandvik AB
1361,wang,gTLD,,,,,no,Zodiac Wang Limited
1362,wanggou,gTLD,,,online shopping,,no,"Amazon Registry Services, Inc."
1363,warman,gTLD,,,,,no,
1364,watch,gTLD,,,,,no,"Binky Moon, LLC"
1365,watches,gTLD,,,,,no,Afilias Limited
1366,weather,gTLD,,,,,no,International Business Machines Corporation
1367,weatherchannel,gTLD,,,,,no,International Business Machines Corporation
1368,webcam,gTLD,,,,,no,dot Webcam Limited
1369,weber,gTLD,,,,,no,Saint-Gobain Weber SA
1370,website,gTLD,,,,,no,Radix FZC
1371,wed,gTLD,,,,,no,Emergency Back-End Registry Operator Program - ICANN
1372,wedding,gTLD,,,,,no,"Registry Services, LLC"
1373,weibo,gTLD,,,microblogging,,no,Sina Corporation
1374,weir,gTLD,,,,,no,Weir Group IP Limited
1375,wf,ccTLD,,,,,no,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1376,whoswho,gTLD,,,,,no,Who's Who Registry
1377,wien,gTLD,,,,,no,punkt.wien GmbH
1378,wiki,gTLD,,,,,no,"Top Level Design, LLC"
1379,williamhill,gTLD,,,,,no,William Hill Organization Limited
1380,win,gTLD,,,,,no,First Registry Limited
1381,windows,gTLD,,,,,no,Microsoft Corporation
1382,wine,gTLD,,,,,no,"Binky Moon, LLC"
1383,winners,gTLD,,,,,no,"The TJX Companies, Inc."
1384,wme,gTLD,,,,,no,"William Morris Endeavor Entertainment, LLC"
1385,wolterskluwer,gTLD,,,,,no,Wolters Kluwer N.V.
1386,woodside,gTLD,,,,,no,Woodside Petroleum Limited
1387,work,gTLD,,,,,no,"Registry Services, LLC"
1388,works,gTLD,,,,,no,"Binky Moon, LLC"
1389,world,gTLD,,,,,no,"Binky Moon, LLC"
1390,wow,gTLD,,,,,no,"Amazon Registry Services, Inc."
1391,ws,ccTLD,,,,,no,Government of Samoa Ministry of Foreign Affairs & Trade
1392,wtc,gTLD,,,,,no,"World Trade Centers Association, Inc."
1393,wtf,gTLD,,,,,no,"Binky Moon, LLC"
1394,xbox,gTLD,,,,,no,Microsoft Corporation
1395,xerox,gTLD,,,,,no,Xerox DNHC LLC
1396,xfinity,gTLD,,,,,no,"Comcast IP Holdings I, LLC"
1397,xihuan,gTLD,,,like,,no,QIHOO 360 TECHNOLOGY CO. LTD.
1398,xin,gTLD,,,credit; honest,,no,Elegant Leader Limited
1399,xperia,gTLD,,,,,no,
1400,xxx,sTLD,,,,,no,ICM Registry LLC
1401,xyz,gTLD,,,,,no,XYZ.COM LLC
1402,yachts,gTLD,,,,,no,XYZ.COM LLC
1403,yahoo,gTLD,,,,,no,OATH INC
1404,yamaxun,gTLD,,,,,no,"Amazon Registry Services, Inc."
1405,yandex,gTLD,,,,,no,Yandex Europe B.V.
1406,ye,ccTLD,,,,,no,TeleYemen
1407,yodobashi,gTLD,,,,,no,"YODOBASHI CAMERA CO.,LTD."
1408,yoga,gTLD,,,,,no,"Registry Services, LLC"
1409,yokohama,gTLD,,,,,no,"GMO Registry, Inc."
1410,you,gTLD,,,,,no,"Amazon Registry Services, Inc."
1411,youtube,gTLD,,,,,no,Charleston Road Registry Inc.
1412,yt,ccTLD,,,,,no,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1413,yun,gTLD,,,,,no,QIHOO 360 TECHNOLOGY CO. LTD.
1414,za,ccTLD,,,,,no,ZA Domain Name Authority
1415,zappos,gTLD,,,,,no,"Amazon Registry Services, Inc."
1416,zara,gTLD,,,,,no,"Industria de Diseño Textil, S.A. (INDITEX, S.A.)"
1417,zero,gTLD,,,,,no,"Amazon Registry Services, Inc."
1418,zip,gTLD,,,,,no,Charleston Road Registry Inc.
1419,zippo,gTLD,,,,,no,
1420,zm,ccTLD,,,,,no,Zambia Information and Communications Technology Authority (ZICTA)
1421,zone,gTLD,,,,,no,"Binky Moon, LLC"
1422,zuerich,gTLD,,,,,no,Kanton Zürich (Canton of Zurich)
1423,zw,ccTLD,,,,,no,Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ)
1424,δοκιμή,test,xn--jxalpdlp,el,test,dokimé,no,
1425,ελ,ccTLD,xn--qxam,el,ht,,no,ICS-FORTH GR
1426,ευ,ccTLD,xn--qxa6a,,,,no,EURid vzw
1427,бг,ccTLD,xn--90ae,sr,bg,,no,Imena.BG AD
1428,бел,ccTLD,xn--90ais,bg,bell,,no,Belarusian Cloud Technologies LLC
1429,дети,gTLD,xn--d1acj3b,ru,kids,dyeti,no,The Foundation for Network Initiatives “The Smart Internet”
1430,ею,ccTLD,xn--e1a4c,ru,her,,no,EURid vzw
1431,испытание,test,xn--80akhbyknj4f,ru,test,ispytánije,no,
1432,католик,gTLD,xn--80aqecdr1a,mn,catholic,Katolik,no,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1433,ком,gTLD,xn--j1aef,ru,com,kom,no,VeriSign Sarl
1434,мкд,ccTLD,xn--d1alf,ru,mcd,,no,Macedonian Academic Research Network Skopje
1435,мон,ccTLD,xn--l1acc,ru,mont,,no,"Datacom Co.,Ltd"
1436,москва,gTLD,xn--80adxhks,ru,moscow,moskva,no,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
1437,онлайн,gTLD,xn--80asehdb,ru,online,onlain,no,CORE Association
1438,орг,gTLD,xn--c1avg,ru,organization,org,no,Public Interest Registry
1439,рус,gTLD,xn--p1acf,ru,russian,rus,no,Rusnames Limited
1440,рф,ccTLD,xn--p1ai,ru,rf,,no,Coordination Center for TLD RU
1441,сайт,gTLD,xn--80aswg,ru,site,sait,no,CORE Association
1442,срб,ccTLD,xn--90a3ac,bg,srb,,no,Serbian National Internet Domain Registry (RNIDS)
1443,укр,ccTLD,xn--j1amh,uk,ukr,,no,"Ukrainian Network Information Centre (UANIC), Inc."
1444,қаз,ccTLD,xn--80ao21a,ru,goose,,no,Association of IT Companies of Kazakhstan
1445,հայ,ccTLD,xn--y9a3aq,hy,armenian,,no,"""Internet Society"" Non-governmental Organization"
1446,טעסט,test,xn--deba0ad,en,test,,yes,
1447,ישראל,ccTLD,xn--4dbrk0ce,,,,yes,The Israel Internet Association (RA)
1448,קום,gTLD,xn--9dbq2a,he,get up,qom,yes,VeriSign Sarl
1449,آزمایشی,test,xn--hgbk6aj7f53bba,fa,in the cloud,,yes,
1450,إختبار,test,xn--kgbechtv,ar,test,,yes,
1451,ابوظبي,gTLD,xn--mgbca7dzdo,ar,abu dhabi,abu thabi,yes,Abu Dhabi Systems and Information Centre
1452,اتصالات,gTLD,xn--mgbaakc7dvf,ar,telecom,itissalat,yes,Emirates Telecommunications Corporation (trading as Etisalat)
1453,ارامكو,gTLD,xn--mgba3a3ejt,ar,aramco,,yes,Aramco Services Company
1454,الاردن,ccTLD,xn--mgbayh7gpa,ar,jordan,,yes,Ministry of Digital Economy and Entrepreneurship (MoDEE)
1455,البحرين,ccTLD,xn--mgbcpq6gpa1a,,,,yes,Telecommunications Regulatory Authority (TRA)
1456,الجزائر,ccTLD,xn--lgbbat1ad8j,ar,algeria,,yes,CERIST
1457,السعودية,ccTLD,xn--mgberp4a5d4ar,ar,saudi arabia,,yes,Communications and Information Technology Commission
1458,العليان,gTLD,xn--mgba7c0bbn0a,ar,olayan,al-alian,yes,Crescent Holding GmbH
1459,المغرب,ccTLD,xn--mgbc0a9azcg,ar,morocco,,yes,Agence Nationale de Réglementation des Télécommunications (ANRT)
1460,امارات,ccTLD,xn--mgbaam7a8h,fa,uae,,yes,Telecommunications and Digital Government Regulatory Authority (TDRA)
1461,ایران,ccTLD,xn--mgba3a4f16a,fa,iran,,yes,Institute for Research in Fundamental Sciences (IPM)
1462,بارت,ccTLD,xn--mgbbh1a,ar,bart,,yes,National Internet eXchange of India
1463,بازار,gTLD,xn--mgbab2bd,ar,bazaar,,yes,CORE Association
1464,بيتك,gTLD,xn--ngbe9e0a,ar,b-tech,baytak,yes,Kuwait Finance House
1465,بھارت,ccTLD,xn--mgbbh1a71e,ur,india,,yes,National Internet Exchange of India
1466,تونس,ccTLD,xn--pgbs0dh,ar,tunisia,,yes,Agence Tunisienne d'Internet
1467,سودان,ccTLD,xn--mgbpl2fh,fa,sudan,sudan,yes,Sudan Internet Society
1468,سورية,ccTLD,xn--ogbpf8fl,ar,syria,,yes,National Agency for Network Services (NANS)
1469,شبكة,gTLD,xn--ngbc5azd,ar,web,,yes,International Domain Registry Pty. Ltd.
1470,عراق,ccTLD,xn--mgbtx2b,fa,iraq,,yes,Communications and Media Commission (CMC)
1471,عرب,gTLD,xn--ngbrx,ar,Arabs,arab,yes,League of Arab States
1472,عمان,ccTLD,xn--mgb9awbf,ar,oman,,yes,Telecommunications Regulatory Authority (TRA)
1473,فلسطين,ccTLD,xn--ygbi2ammx,ar,palestine,,yes,Ministry of Telecom & Information Technology (MTIT)
1474,قطر,ccTLD,xn--wgbl6a,ar,qatar,,yes,Communications Regulatory Authority
1475,كاثوليك,gTLD,xn--mgbi4ecexp,ar,catholic,catholic,yes,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
1476,كوم,gTLD,xn--fhbei,ar,com,com,yes,VeriSign Sarl
1477,مصر,ccTLD,xn--wgbh1c,ar,egypt,,yes,National Telecommunication Regulatory Authority - NTRA
1478,مليسيا,ccTLD,xn--mgbx4cd0ab,ar,malysia,,yes,MYNIC Berhad
1479,موبايلي,gTLD,xn--mgbb9fbpob,ar,mobily,mobily,yes,
1480,موريتانيا,ccTLD,xn--mgbah1a3hjkrd,ar,mauritania,,yes,Université de Nouakchott Al Aasriya
1481,موقع,gTLD,xn--4gbrim,ar,site,,yes,Helium TLDs Ltd
1482,همراه,gTLD,xn--mgbt3dhd,fa,along,hamra,yes,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
1483,پاكستان,ccTLD,xn--mgbai9a5eva00b,fa,pakistan,,yes,Not assigned
1484,پاکستان,ccTLD,xn--mgbai9azgqp6j,ur,pakistan,,yes,National Telecommunication Corporation
1485,ڀارت,ccTLD,xn--mgbgu82a,sd,india,,yes,National Internet eXchange of India
1486,कॉम,gTLD,xn--11b4c3d,hi,com,koma,no,VeriSign Sarl
1487,नेट,gTLD,xn--c2br7g,hi,met,neta,no,VeriSign Sarl
1488,परीक्षा,test,xn--11b5bs3a9aj6g,hi,exam,parīkṣā,no,
1489,भारत,ccTLD,xn--h2brj9c,hi,india,,no,National Internet Exchange of India
1490,भारतम्,ccTLD,xn--h2breg3eve,ne,bharatam,,no,National Internet eXchange of India
1491,भारोत,ccTLD,xn--h2brj9c8c,hi,bharot,,no,National Internet eXchange of India
1492,संगठन,gTLD,xn--i1b6b1a6a2e,hi,organization,saṅgaṭhana,no,Public Interest Registry
1493,বাংলা,ccTLD,xn--54b7fta0cc,bn,bengali,,no,Posts and Telecommunications Division
1494,ভারত,ccTLD,xn--45brj9c,bn,india,,no,National Internet Exchange of India
1495,ভাৰত,ccTLD,xn--45br5cyl,bn,bharata,,no,National Internet eXchange of India
1496,ਭਾਰਤ,ccTLD,xn--s9brj9c,pa,india,,no,National Internet Exchange of India
1497,ભારત,ccTLD,xn--gecrj9c,gu,india,,no,National Internet Exchange of India
1498,ଭାରତ,ccTLD,xn--3hcrj9c,en,ଭାରତ,,no,National Internet eXchange of India
1499,இந்தியா,ccTLD,xn--xkc2dl3a5ee0h,ta,india,,no,National Internet Exchange of India
1500,இலங்கை,ccTLD,xn--xkc2al3hye2a,ta,sri lanka,,no,LK Domain Registry
1501,சிங்கப்பூர்,ccTLD,xn--clchc0ea0b2g2a9gcd,ta,singapore,,no,Singapore Network Information Centre (SGNIC) Pte Ltd
1502,பரிட்சை,test,xn--hlcj6aya9esc7a,ta,in ayurveda,pariṭcai,no,
1503,భారత్,ccTLD,xn--fpcrj9c3d,te,india,,no,National Internet Exchange of India
1504,ಭಾರತ,ccTLD,xn--2scrj9c,kn,india,,no,National Internet eXchange of India
1505,ഭാരതം,ccTLD,xn--rvc1e0am3e,ml,india,,no,National Internet eXchange of India
1506,ලංකා,ccTLD,xn--fzc2c9e2c,si,the,,no,LK Domain Registry
1507,คอม,gTLD,xn--42c2d9a,th,com,khxm,no,VeriSign Sarl
1508,ไทย,ccTLD,xn--o3cw4h,th,thai,,no,Thai Network Information Center Foundation
1509,ລາວ,ccTLD,xn--q7ce6a,,,,no,Lao National Internet Center (LANIC)
1510,გე,ccTLD,xn--node,ka,customize,,no,Information Technologies Development Center (ITDC)
1511,みんな,gTLD,xn--q9jyb4c,ja,everyone,minna,no,Charleston Road Registry Inc.
